order_id,order_date,amount,product_id
1001,10-01-2024,7864,101
1002,13-01-2024,8639,112
1003,24-01-2024,5171,125
1004,07-01-2024,7482,145
1005,04-01-2024,8558,115
1006,28-01-2024,3167,124
1007,07-01-2024,3249,137
1008,28-01-2024,5684,144
1009,20-01-2024,9152,138
1010,16-01-2024,4529,122
1011,16-01-2024,6045,104
1012,02-01-2024,7451,122
1013,10-01-2024,7596,116
1014,07-01-2024,7052,110
1015,16-01-2024,445,139
1016,13-01-2024,5985,113
1017,10-01-2024,5930,122
1018,09-01-2024,2030,150
1019,18-01-2024,1827,107
1020,13-01-2024,5223,107
1021,23-01-2024,4949,128
1022,01-01-2024,7693,124
1023,14-01-2024,6182,108
1024,28-01-2024,8668,142
1025,25-01-2024,2092,104
1026,20-01-2024,2160,123
1027,14-01-2024,5965,145
1028,23-01-2024,9442,141
1029,14-01-2024,6936,147
1030,25-01-2024,8186,127
1031,01-01-2024,4275,142
1032,04-01-2024,1378,138
1033,21-01-2024,463,102
1034,26-01-2024,3554,113
1035,12-01-2024,1243,120
1036,11-01-2024,1953,109
1037,21-01-2024,2326,130
1038,22-01-2024,6436,150
1039,25-01-2024,8572,129
1040,20-01-2024,6854,135
1041,05-01-2024,5308,135
1042,11-01-2024,6008,115
1043,03-01-2024,4953,145
1044,09-01-2024,8695,131
1045,17-01-2024,8189,126
1046,26-01-2024,8746,123
1047,10-01-2024,9988,124
1048,06-01-2024,4465,140
1049,09-01-2024,8935,113
1050,21-01-2024,1757,131
1051,16-01-2024,7582,146
1052,07-01-2024,7935,138
1053,03-01-2024,9028,147
1054,03-01-2024,4029,106
1055,03-01-2024,2474,120
1056,01-01-2024,3850,138
1057,14-01-2024,7367,103
1058,23-01-2024,417,112
1059,09-01-2024,7629,124
1060,25-01-2024,4475,150
1061,12-02-2024,185,116
1062,13-02-2024,9736,103
1063,18-02-2024,2742,134
1064,19-02-2024,9772,149
1065,21-02-2024,7326,125
1066,01-02-2024,1757,132
1067,19-02-2024,4530,127
1068,20-02-2024,5636,114
1069,14-02-2024,9041,115
1070,16-02-2024,8862,120
1071,16-02-2024,4112,144
1072,21-02-2024,9624,150
1073,25-02-2024,651,126
1074,01-02-2024,9863,148
1075,14-02-2024,3809,103
1076,10-02-2024,7885,118
1077,19-02-2024,7451,132
1078,06-02-2024,6316,143
1079,18-02-2024,4802,123
1080,22-02-2024,353,131
1081,11-02-2024,5921,106
1082,28-02-2024,4107,133
1083,15-02-2024,6512,146
1084,08-02-2024,5187,143
1085,01-02-2024,4091,103
1086,12-02-2024,4989,111
1087,03-02-2024,6213,136
1088,19-02-2024,6170,116
1089,13-02-2024,8926,119
1090,05-02-2024,9425,121
1091,01-02-2024,3961,119
1092,15-02-2024,806,104
1093,11-02-2024,1645,114
1094,10-02-2024,7933,111
1095,21-02-2024,5274,101
1096,03-02-2024,3564,105
1097,04-02-2024,1405,102
1098,06-02-2024,419,104
1099,20-02-2024,9883,110
1100,21-02-2024,4905,127
1101,12-02-2024,228,108
1102,14-02-2024,9807,116
1103,03-02-2024,8100,121
1104,03-02-2024,5868,101
1105,26-02-2024,3682,107
1106,04-02-2024,2393,118
1107,06-02-2024,4327,142
1108,28-02-2024,1308,127
1109,27-02-2024,6241,111
1110,08-02-2024,4436,147
1111,07-02-2024,4127,140
1112,26-02-2024,7089,145
1113,11-02-2024,2180,138
1114,23-02-2024,4467,139
1115,02-02-2024,417,103
1116,04-02-2024,4038,123
1117,01-02-2024,7618,142
1118,14-02-2024,862,134
1119,08-02-2024,4726,106
1120,08-02-2024,2683,111
1121,27-03-2024,9220,133
1122,03-03-2024,9944,142
1123,09-03-2024,1543,138
1124,14-03-2024,8403,147
1125,27-03-2024,1502,105
1126,24-03-2024,9369,108
1127,15-03-2024,6330,136
1128,22-03-2024,6016,105
1129,14-03-2024,3135,143
1130,05-03-2024,8522,144
1131,21-03-2024,6317,109
1132,28-03-2024,2022,101
1133,05-03-2024,3140,113
1134,05-03-2024,4585,108
1135,20-03-2024,7037,110
1136,25-03-2024,6460,131
1137,14-03-2024,5990,144
1138,06-03-2024,1102,146
1139,23-03-2024,6742,121
1140,28-03-2024,4644,127
1141,22-03-2024,8053,119
1142,18-03-2024,3182,138
1143,21-03-2024,2621,124
1144,03-03-2024,1264,147
1145,23-03-2024,5481,136
1146,10-03-2024,2557,117
1147,12-03-2024,4970,113
1148,14-03-2024,9367,104
1149,25-03-2024,7475,114
1150,26-03-2024,1717,140
1151,21-03-2024,1331,121
1152,26-03-2024,3173,136
1153,24-03-2024,5287,126
1154,01-03-2024,6705,125
1155,06-03-2024,9713,111
1156,03-03-2024,7261,102
1157,27-03-2024,2856,145
1158,09-03-2024,7720,121
1159,01-03-2024,9061,120
1160,09-03-2024,3417,137
1161,13-03-2024,3818,104
1162,12-03-2024,4867,140
1163,26-03-2024,2452,109
1164,02-03-2024,5454,134
1165,15-03-2024,4180,128
1166,20-03-2024,9327,109
1167,13-03-2024,6010,103
1168,18-03-2024,5751,125
1169,28-03-2024,5533,104
1170,13-03-2024,4952,145
1171,23-03-2024,3607,147
1172,12-03-2024,1030,136
1173,04-03-2024,3623,114
1174,02-03-2024,7656,143
1175,24-03-2024,1517,149
1176,08-03-2024,5892,105
1177,15-03-2024,733,110
1178,10-03-2024,7069,128
1179,27-03-2024,8032,145
1180,20-03-2024,6908,134
1181,23-04-2024,5806,148
1182,04-04-2024,9358,140
1183,27-04-2024,9649,144
1184,05-04-2024,6101,112
1185,20-04-2024,9559,129
1186,07-04-2024,6167,141
1187,14-04-2024,1797,107
1188,10-04-2024,7030,140
1189,20-04-2024,7238,103
1190,06-04-2024,1974,132
1191,11-04-2024,9567,134
1192,02-04-2024,3773,108
1193,19-04-2024,8368,114
1194,19-04-2024,9839,108
1195,13-04-2024,8314,110
1196,11-04-2024,9093,118
1197,28-04-2024,3486,126
1198,08-04-2024,666,114
1199,05-04-2024,6636,104
1200,11-04-2024,1137,141
1201,13-04-2024,9349,138
1202,25-04-2024,7010,118
1203,22-04-2024,3985,101
1204,20-04-2024,2491,105
1205,01-04-2024,7637,135
1206,05-04-2024,4273,104
1207,22-04-2024,1838,108
1208,23-04-2024,7756,144
1209,15-04-2024,1232,123
1210,06-04-2024,3782,140
1211,17-04-2024,1374,103
1212,25-04-2024,2638,113
1213,27-04-2024,9731,108
1214,22-04-2024,8946,105
1215,09-04-2024,9003,109
1216,08-04-2024,3951,137
1217,03-04-2024,7439,143
1218,03-04-2024,715,147
1219,05-04-2024,2480,115
1220,28-04-2024,822,137
1221,13-04-2024,6081,143
1222,04-04-2024,4695,131
1223,09-04-2024,8194,130
1224,10-04-2024,152,102
1225,14-04-2024,5990,112
1226,23-04-2024,2935,129
1227,27-04-2024,9684,141
1228,21-04-2024,4129,115
1229,01-04-2024,5628,119
1230,22-04-2024,8468,111
1231,21-04-2024,5481,121
1232,21-04-2024,6625,136
1233,10-04-2024,3784,107
1234,10-04-2024,9952,126
1235,11-04-2024,3336,133
1236,06-04-2024,6570,120
1237,28-04-2024,8239,130
1238,14-04-2024,5187,141
1239,24-04-2024,9078,120
1240,01-04-2024,838,118
1241,06-05-2024,8492,124
1242,11-05-2024,2781,114
1243,11-05-2024,6821,120
1244,03-05-2024,9962,150
1245,02-05-2024,5156,103
1246,01-05-2024,3521,123
1247,14-05-2024,5658,148
1248,26-05-2024,4848,140
1249,22-05-2024,8943,142
1250,13-05-2024,1121,125
1251,23-05-2024,7839,134
1252,25-05-2024,6421,133
1253,25-05-2024,9209,150
1254,02-05-2024,3589,118
1255,03-05-2024,8720,102
1256,07-05-2024,8654,131
1257,15-05-2024,5984,143
1258,23-05-2024,2833,148
1259,06-05-2024,1714,141
1260,16-05-2024,2319,133
1261,26-05-2024,6025,142
1262,10-05-2024,9595,107
1263,19-05-2024,7602,126
1264,12-05-2024,7561,141
1265,05-05-2024,4280,137
1266,01-05-2024,8937,124
1267,08-05-2024,7834,118
1268,03-05-2024,9567,118
1269,04-05-2024,1679,143
1270,11-05-2024,2074,116
1271,02-05-2024,1262,146
1272,24-05-2024,2196,107
1273,17-05-2024,6064,132
1274,17-05-2024,6939,125
1275,28-05-2024,1032,133
1276,25-05-2024,3458,107
1277,09-05-2024,5897,121
1278,27-05-2024,818,133
1279,02-05-2024,7250,131
1280,06-05-2024,8875,108
1281,12-05-2024,364,109
1282,07-05-2024,9767,144
1283,20-05-2024,6124,141
1284,04-05-2024,8188,122
1285,26-05-2024,9075,135
1286,16-05-2024,6169,114
1287,14-05-2024,1627,113
1288,28-05-2024,8922,119
1289,08-05-2024,295,117
1290,22-05-2024,8331,105
1291,08-05-2024,5476,125
1292,18-05-2024,9778,119
1293,21-05-2024,9399,113
1294,11-05-2024,8994,150
